_________________________________
[Date]|[ChangeId]|[ChangeSubject]
---------------------------------
11.08.2014|d3fed734e503|Fix for small screens resizing in header. 
13.08.2014|738818356691|Fix text duplications
19.08.2014|7f6965d8eeb9|add new question about styles
20.08.2014|d773009a6ffc|Fix gallery aspect ratio
22.08.2014|6bb41766a032|Gallery arrow navigation
02.09.2014|bd0e3f2f5f48|enable pictures from dances section to link to gallery albums
08.09.2014|c8ffdea559ae|Fix default tab selection and google analytics
12.09.2014|89a0754bd6d2|Disable auto play for videos
20.09.2014|5b1e46a3e8bb|Change phone numbers
20.10.2014|0aacebe35e61|Add mas que nada in the video list
12.08.2015|518eddd63b12d4955fb7a3412b33894a435592cf|Add the new addres
